year,month,hero,role,ability,change,is_nerf,is_buff,skins,days_since_release
2024,August,kiriko,support,Kunai,Recovery time increased from 0.5 to 0.55 second,1,0,,
2024,August,juno,support,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,juno,support,Mediblaster,Burst projectile volley rate of fire reduced from 34 to 28 shots per second.,1,0,,
2024,August,juno,support,Pulsar Torpedoes,Damage and Healing impact increased from 75 to 85.,0,1,,
2024,August,juno,support,Pulsar Torpedoes,Heal-over-time reduced from 60 to 50 healt,1,0,,
2024,August,juno,support,Hyper Ring,Deploy range increased by 3.5 meters.,0,1,,
2024,August,juno,support,Hyper Ring,Cooldown reduced from 16 to 14 second,0,1,,
2024,August,juno,support,Orbital Ray,Beam travel speed increased from 1.9 to 2.25 meters per second.,0,1,,
2024,August,illari,support,Solar Rifle,Maximum ammo reduced from 16 to 14,1,0,,
2024,August,illari,support,Captive Sun,Projectile environment collision size reduced from 0.15 to 0 meters.,1,0,,
2024,August,torbjorn,damage,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,torbjorn,damage,hit_points,Base armor increased from 50 to 75,0,1,,
2024,August,sombra,damage,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,sombra,damage,VIrus,Impact damage increased from 25 to 35.,0,1,,
2024,August,sombra,damage,Stealth,Bonus movement speed increased from 45 to 60%.,0,1,,
2024,August,sojourn,damage,Railgun,Primary fire weapon spread reduced from 2 to 1.6 degrees.,0,1,,
2024,August,sojourn,damage,Railgun,Critical hits now grant 10 energy.,0,1,,
2024,August,sojourn,damage,Railgun,Energy degeneration rate reduced from 33 to 15 per secondafter 7 second.,0,1,,
2024,August,junkrat,damage,Frag Launcher,Projectile size is now reduced by half after the secondricochet.,1,0,,
2024,August,junkrat,damage,Frag Launcher,Projectiles preserve slightly more velocity on ricochet,0,1,,
2024,August,hanzo,damage,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,echo,damage,hit_points,Base health reduced from 250 to 225.,1,0,,
2024,August,zarya,tank,Particle Cannon,Secondary fire minimum damage increased from 47 to 55.,0,1,,
2024,August,zarya,tank,Particle Cannon,Secondary fire maximum damage increased from 95 to 110,0,1,,
2024,August,orisa,tank,Energy Javelin,Impact damage increased from 60 to 80.,0,1,,
2024,August,dva,tank,Defense Matrix,Maximum duration reduced from 3.5 to 3 second.,1,0,,
2024,August,juno,support,Mediblaster,Damage increased from 7 to 8.,0,1,,
2024,August,juno,support,Glide Boost,Cooldown reduced from 8 to 6 second,0,1,,
2024,August,illari,support,Solar Rifle,Maximum damage reduced from 75 to 70,1,0,,
2024,August,illari,support,Solar Rifle,Minimum damage reduced from 25 to 20,1,0,,
2024,August,tracer,damage,Pulse Pistols,Damage reduced from 6 to 5.5,1,0,,
2024,September,juno,support,Mediblaster,Fire rate increased from 14.3 to 15.5 (reverted to the 34 shots per secondduring the projectile volley).,0,1,,
2024,September,juno,support,Mediblaster,Damage reduced from 8 to 7.5.,1,0,,
2024,September,juno,support,Mediblaster,Healing reduced from 7 to 6.5,1,0,,
2024,September,sombra,damage,VIrus,Damage over time reduced from 90 to 75.,1,0,,
2024,September,ashe,damage,The Viper,Reload per bullet increased from 0.2 to 0.25 second.,1,0,,
2024,September,ashe,damage,The Viper,Primary fire damage reduced from 40 to 35,1,0,,
2024,September,winston,tank,Tesla Cannon,Damage per secondreduced from 75 to 70.,1,0,,
2024,September,zenyatta,support,Destruction Orb,Damage increased from 48 to 50.,0,1,,
2024,September,zenyatta,support,Orb of Discord,Cooldown per target reduced from 7 to 6 second.,0,1,,
2024,September,lifeweaver,support,Thorn Volley,Maximum ammo increased from 80 to 100.,0,1,,
2024,September,moira,support,Coalescence,Damage per secondincreased from 70 to 85.,0,1,,
2024,September,venture,damage,Explorer's Resolve,Shield health gained per ability reduced from 40 to 30.,1,0,,
2024,September,hanzo,damage,Storm Bow,Normal arrows are no longer affected by global projectile size increases.,0,1,,
2024,September,hanzo,damage,Storm Bow,Maximum damage increased from 120 to 125.,0,1,,
2024,September,hanzo,damage,Storm Bow,Time to fully charge increased from 0.72 to 0.87 second,1,0,,
2024,September,cassidy,damage,Flashbang,Hinder duration reduced from 1.2 to 0.9 second.,1,0,,
2024,September,cassidy,damage,Flashbang,Explosion damage increased from 45 to 75,0,1,,
2024,September,cassidy,damage,Deadeye,Ultimate cost reduced 10%.,0,1,,
2024,September,bastion,damage,Configuration: Assault,Spread reduced from 2.2 to 2 degrees.,0,1,,
2024,September,bastion,damage,Configuration: Artillery,Ultimate cost reduced 12%.,0,1,,
2024,September,sigma,tank,Hyperspheres,Impact damage reduced from 25 to 15.,1,0,,
2024,September,sigma,tank,Hyperspheres,Explosion damage increased from 30 to 40.,0,1,,
2024,September,sigma,tank,Hyperspheres,No longer deals damage to self,0,1,,
2024,September,roadhog,tank,Take a Breather,Resource regeneration rate increased from 8 to 10 per second.,0,1,,
2024,September,orisa,tank,Fortify,Movement speed penalty reduced from 20% to 10%.,0,1,,
2024,September,dva,tank,hit_points,Mech armor health reduced from 375 to 325,1,0,,
2024,September,dva,tank,hit_points,Mech base health increased from 200 to 225,0,1,,
2024,October,juno,support,Mediblaster,Falloff range reduced from 30-50 meters to 20-35 meters.,1,0,,
2024,October,juno,support,Mediblaster,Healing per projectile reduced from 6.5 to 6,1,0,,
2024,October,brigitte,support,Repair Pack,Cooldown increased from 5 to 5.5 second.,1,0,,
2024,October,baptiste,support,Biotic Launcher,Primary fire recoil reduced by 30%.,0,1,,
2024,October,sombra,damage,Hack,No longer ends Stealth but does reveal Sombra.,0,1,,
2024,October,sombra,damage,Hack,Hacked ability lockout effect duration reduced from 1.5 to 1.0 second (EMP duration unchanged).,1,0,,
2024,October,sombra,damage,Hack,BOB hacked stun duration reduced from 10 to 3 second,1,0,,
2024,October,sombra,damage,Translocator,Cooldown increased from 5 to 7 second.,1,0,,
2024,October,sombra,damage,EMP,Ultimate cost increased 12%.,1,0,,
2024,October,sombra,damage,Stealth,No longer passive and now activates by using Translocator.,1,0,,
2024,October,sombra,damage,Stealth,Now has a 5 secondduration.,1,0,,
2024,October,sombra,damage,Stealth,Taking damage now reveals Sombra for 1 secondinstead of ending stealth,0,1,,
2024,October,sombra,damage,Opportunist,Ability passive added to game,0,1,,
2024,October,sombra,damage,Opportunist,Increases Sombra's weapon damage versus hacked targets by 20%.,0,1,,
2024,October,sombra,damage,Opportunist,See critically injured enemies through walls.,0,1,,
2024,October,sojourn,damage,Railgun,Energy no longer stops degenerating at 25 energy.,1,0,,
2024,October,sojourn,damage,Railgun,Time before energy degeneration begins increased from 7 to 12 second,0,1,,
2024,October,sojourn,damage,Disruptor Shot,Damage per secondincreased from 60 to 80,0,1,,
2024,October,sojourn,damage,Disruptor Shot,Now generates 25% of damage done to enemy players as Railgun energy,0,1,,
2024,October,hanzo,damage,hit_points,Base health increased from 225 to 250.,0,1,,
2024,October,reinhardt,tank,Barrier Field,Barrier Field health reduced from 1600 to 1500.,1,0,,
2024,October,ramattra,tank,Pummel,No longer pierces barriers.,1,0,,
2024,October,ramattra,tank,Pummel,Now deals 2.5x more damage to barriers,0,1,,
2024,October,mauga,tank,Incendiary Chaingun,Ignite damage over time duration increased from 3 to 4 second.,0,1,,
2024,October,sombra,damage,Translocator,Cooldown reduced from 7 to 6 seconds,0,1,,
2024,October,juno,support,Orbital Ray,Healing reduced from 100 to 85 health per second,1,0,,
2024,October,sombra,damage,Hack,Now exits stealth when hacking an enemy target.,1,0,,
2024,October,sombra,damage,Translocator,Delay before entering stealth reduced from 0.5 to 0.33 seconds.,0,1,,
2024,October,sombra,damage,Translocator,Fade in time reduced from 0.3 to 0.15 second,0,1,,
2024,October,sombra,damage,EMP,Ultimate cost reduced by 10%.,0,1,,
2024,October,wrecking ball,tank,Quad Cannons,Ammo increased from 80 to 100.,0,1,,
2024,October,wrecking ball,tank,Grappling Claw,Duration increased from 6 to 8 seconds.,0,1,,
2024,October,ramattra,tank,Pummel,Reverted to pierce barriers again.,0,1,,
2024,October,ramattra,tank,Pummel,No longer deals critical damage to barriers,1,0,,
2024,October,orisa,tank,hit_points,Base health increased from 125 to 175.,0,1,,
2024,October,orisa,tank,hit_points,Base armor reduced from 350 to 300,1,0,,
2024,October,orisa,tank,Energy Javelin,Damage reduced from 80 to 70.,1,0,,
2024,October,orisa,tank,Fortify,No longer reduces Fusion Driver heat generation.,1,0,,
